STT,Mã MH,Tên môn học,TC,Khoa/BM quản lý,Khoa/BM đang sử dụng,Mã MH,Tên môn học tương đương,TC,Khoa/BM quản lý,Ghi chú
127,200304,Quy hoạch tổng thể KT-XH ,2,QUẢN LÝ ĐO & BĐS,,209339,Quy hoạch tổng thể KT-XH ,2,QUẢN LÝ ĐO & BĐS,
128,200306,Quy hoạch đồ thị,3,QUẢN LÝ ĐO & BĐS,,209340,Quy hoạch đồ thị,3,QUẢN LÝ ĐO & BĐS,Chỉ áp dụng cho SV khoa QLĐĐ&BĐS
129,209307,Quy hoạch phát triển nông thôn,2,QUẢN LÝ ĐO & BĐS,,209341,Quy hoạch PT nông thôn,2,QUẢN LÝ ĐO & BĐS,
130,204306,Nông học đại cương,2,NÔNG HỌC,,204534,Nông học đại cương,2,NÔNG HỌC,
131,203608,Nông học đại cương,2,NÔNG HỌC,,204534,Nông học đại cương,2,NÔNG HỌC,
132,204919,Phương pháp tiếp cận khoa học,1,NÔNG HỌC,,204618,Phương pháp tiếp cận khoa học,1,NÔNG HỌC,
133,204606,Khí tượng đại cương,2,NÔNG HỌC,,204615,Khí tượng nông nghiệp,2,NÔNG HỌC,Chỉ áp dụng cho SV khoa Nông học
134,204901,Khuyết nông,2,NÔNG HỌC,,204423,Khuyết nông,2,NÔNG HỌC,
135,204805,Rèn nghề 1,1,NÔNG HỌC,,204535,Rèn nghề 1,1,NÔNG HỌC,
136,204805,Rèn nghề 1,1,NÔNG HỌC,,204739,Rèn nghề BVTV 1,1,NÔNG HỌC,
137,204612,Phương pháp thí nghiệm 2,3,NÔNG HỌC,,204616,Phương pháp thí nghiệm ,3,NÔNG HỌC,
138,204716,Côn trùng đại cương,3,NÔNG HỌC,,204735,Côn trùng,3,NÔNG HỌC,
139,204718,Côn trùng chuyên khoa,3,NÔNG HỌC,,204737,Côn trùng và động vật hại NN,3,NÔNG HỌC,
140,204717,Bệnh cây chuyên khoa,3,NÔNG HỌC,,204736,Bệnh cây nâng cao,3,NÔNG HỌC,
141,204730,Kiểm dịch thực vật,2,NÔNG HỌC,,204731,Dịch hại trong kho,2,NÔNG HỌC,
142,204516,Cây CNNN 1a (Mía + Thuốc lá),2,NÔNG HỌC,,204533,Cây công nghiệp ngắn ngày,2,NÔNG HỌC,
143,204524,Cây CNNN 1b (Mía + Đay),2,NÔNG HỌC,,204533,Cây công nghiệp ngắn ngày,2,NÔNG HỌC,
144,204515,Cây CNNN 2a (Cà phê + Chè),2,NÔNG HỌC,,204533,Cây công nghiệp ngắn ngày,2,NÔNG HỌC,Chỉ áp dụng cho SV khoa Nông học
145,204514,Cây CNNN 2 (Đ.Nành + Phụng),2,NÔNG HỌC,,204533,Cây công nghiệp ngắn ngày,2,NÔNG HỌC,Chỉ áp dụng cho SV khoa Nông học
146,204526,Cây CNNN 2b (Đ.Nành + Mè),2,NÔNG HỌC,,204533,Cây công nghiệp ngắn ngày,2,NÔNG HỌC,
147,204527,Cây CNNN 2c (Đ.Phụng + Mè),2,NÔNG HỌC,,204533,Cây công nghiệp ngắn ngày,2,NÔNG HỌC,
148,204611,Quản lý nước trong nông nghiệp,2,NÔNG HỌC,,204617,Thủy nông,2,NÔNG HỌC,
149,204727,Môi trường nông nghiệp,2,NÔNG HỌC,,204738,Bảo vệ môi trường nông nghiệp,2,NÔNG HỌC,
150,210232,CNCB dầu và chất báo TP,2,CN THỰC PHẨM,,210332,CNCB dầu và chất béo TP,2,CN THỰC PHẨM,
151,212335,Nước tải & các QT xử lý nước,2,MÔI TRƯỜNG & TN,CN THỰC PHẨM,210416,Nước trong CNTP,2,CN THỰC PHẨM,Chỉ áp dụng cho SV khoa CNTP
152,213655,Anh văn tổng quát 1,3,CN THỰC PHẨM,,213650,Anh văn 1,3,CN THỰC PHẨM,Áp dụng cho SV CNTP CT tiên tiến
153,213656,Anh văn tổng quát 2,3,CN THỰC PHẨM,,213651,Anh văn 2,3,CN THỰC PHẨM,Áp dụng cho SV CNTP CT tiên tiến
154,210255,Hóa sinh đại cương,3,CN THỰC PHẨM,,210204,Hóa sinh đại cương,3,CN THỰC PHẨM,Áp dụng cho SV CNTP từ CT tiên tiến chuyển sang CT Tiếng Việt
155,210550,Dinh dưỡng đại cương,2,CN THỰC PHẨM,,210502,Dinh dưỡng đại cương,2,CN THỰC PHẨM,Áp dụng cho SV CNTP từ CT tiên tiến chuyển sang CT Tiếng Việt
156,210314,Tính chất công nghệ vật liệu,2,CN THỰC PHẨM,,210362,Thuộc tính thực phẩm,2,CN THỰC PHẨM,Áp dụng cho SV CNTP từ CT tiên tiến chuyển sang CT Tiếng Việt
157,210952,Thực tập rèn nghề,1,CN THỰC PHẨM,,210903,Rèn nghề 1,1,CN THỰC PHẨM,Áp dụng cho SV CNTP từ CT tiên tiến chuyển sang CT Tiếng Việt
158,210354,Truyền nhiệt và truyền khối,2,CN THỰC PHẨM,,210318,Nhiệt kỹ thuật thực phẩm,2,CN THỰC PHẨM,Áp dụng cho SV CNTP từ CT tiên tiến chuyển sang CT Tiếng Việt
159,210355,Quá trình đông lạnh thực phẩm,2,CN THỰC PHẨM,,210316,KT lạnh & UD lạnh trong CNTP,2,CN THỰC PHẨM,Áp dụng cho SV CNTP từ CT tiên tiến chuyển sang CT Tiếng Việt
160,210154,Khoa học cảm quan thực phẩm,3,CN THỰC PHẨM,,210110,Khoa học cảm quan và PTCQTP,3,CN THỰC PHẨM,Áp dụng cho SV CNTP từ CT tiên tiến chuyển sang CT Tiếng Việt
161,210356,Bao bì thực phẩm,2,CN THỰC PHẨM,,210301,Bao bì thực phẩm,2,CN THỰC PHẨM,Áp dụng cho SV CNTP từ CT tiên tiến chuyển sang CT Tiếng Việt
162,210405,Nguyên lý bảo quản thực phẩm,2,CN THỰC PHẨM,,210506,An toàn vệ sinh thực phẩm,2,CN THỰC PHẨM,Áp dụng cho SV CNTP từ CT tiên tiến chuyển sang CT Tiếng Việt
163,210552,Ng.lý đảm bảo CL trong CBTP,2,CN THỰC PHẨM,,210512,Quản lý chất lượng trong CBTP,2,CN THỰC PHẨM,Áp dụng cho SV CNTP từ CT tiên tiến chuyển sang CT Tiếng Việt
164,210551,PP Phân tích thực phẩm,3,CN THỰC PHẨM,,210513,PP Phân tích TP hóa-lý TPhẩm,3,CN THỰC PHẨM,Áp dụng cho SV CNTP từ CT tiên tiến chuyển sang CT Tiếng Việt
165,210253,Công nghệ chế biến thức uống,3,CN THỰC PHẨM,,210202,Công nghệ SX thức uống lên men,3,CN THỰC PHẨM,Áp dụng cho SV CNTP từ CT tiên tiến chuyển sang CT Tiếng Việt
166,210254,CN chế biến dầu mỡ thực phẩm,2,CN THỰC PHẨM,,210232,CN dầu và chất béo TP,2,CN THỰC PHẨM,Áp dụng cho SV CNTP từ CT tiên tiến chuyển sang CT Tiếng Việt
167,210315,"CN chế biến trà, cà phê, ca ca",3,CN THỰC PHẨM,,210309,"CN chế biến trà, cà phê, ca ca",3,CN THỰC PHẨM,Áp dụng cho SV CNTP từ CT tiên tiến chuyển sang CT Tiếng Việt
168,207213,Kỹ thuật thực phẩm,3,CƠ KHÍ,,207233,Cơ sở kỹ thuật thực phẩm,3,CƠ KHÍ,
169,207228,Máy chế biến 2,3,CƠ KHÍ,,207230,Máy chế biến ,3,CƠ KHÍ,
170,207115,Thực tập gia công,2,CƠ KHÍ,,207126,Thực tập gia công cắt - gọt,2,CƠ KHÍ,
171,207115,Thực tập gia công,2,CƠ KHÍ,,207127,Thực tập gia công hàn - nguội,2,CƠ KHÍ,
172,207116,"Tin học ứng dụng(CAD,OrCAD)",2,CƠ KHÍ,,207117,AutoCAD,2,CƠ KHÍ,
